State,Year,Region,Age_Group,Gender,Literacy_Rate (%),Dropout_Rate (%),Internet_Access (%),Govt_Education_Spending (₹ per student),Teacher_Student_Ratio
Andhra Pradesh,2018,Urban,Above 24,Male,99.0,1.0,80.29,3209.83,26.22
Andhra Pradesh,2018,Rural,Above 24,Male,78.89,16.32,28.83,3927.76,35.44
Andhra Pradesh,2018,Urban,Above 24,Female,65.7,11.08,70.68,3978.72,47.15
Andhra Pradesh,2018,Rural,Above 24,Female,69.34,5.87,47.8,3970.57,36.82
Andhra Pradesh,2019,Urban,Below 15,Male,70.07,9.43,77.57,5192.6,20.4
Andhra Pradesh,2019,Rural,Below 15,Male,64.65,13.63,35.2,5912.36,33.24
Andhra Pradesh,2019,Urban,Below 15,Female,60.39,14.59,95.0,5325.97,17.85
Andhra Pradesh,2019,Rural,Below 15,Female,58.16,22.33,34.38,4855.06,36.2
Andhra Pradesh,2019,Urban,15-24,Male,72.73,15.7,21.38,3680.49,27.98
Andhra Pradesh,2019,Rural,15-24,Male,59.52,30.16,23.55,4147.96,31.05
Andhra Pradesh,2019,Urban,15-24,Female,91.41,8.82,87.45,4508.19,22.15
Andhra Pradesh,2019,Rural,15-24,Female,71.62,23.0,36.0,4555.84,26.92
Andhra Pradesh,2019,Urban,Above 24,Male,79.14,13.31,93.79,3509.75,47.06
Andhra Pradesh,2019,Rural,Above 24,Male,48.48,15.24,53.82,4724.79,25.02
Andhra Pradesh,2019,Urban,Above 24,Female,70.92,7.53,61.16,5179.68,32.86
Andhra Pradesh,2019,Rural,Above 24,Female,56.07,20.5,49.61,5150.29,35.04
Andhra Pradesh,2020,Urban,Below 15,Male,69.71,7.2,81.21,4988.3,29.83
Andhra Pradesh,2020,Rural,Below 15,Male,69.17,22.39,36.13,4937.68,28.38
Andhra Pradesh,2020,Urban,Below 15,Female,70.82,15.49,82.38,5150.81,40.44
Andhra Pradesh,2020,Rural,Below 15,Female,63.21,19.41,40.35,4759.33,28.96
Andhra Pradesh,2020,Urban,15-24,Male,82.97,18.98,57.73,6173.91,21.95
Andhra Pradesh,2020,Rural,15-24,Male,59.86,27.79,56.87,4999.3,35.03
Andhra Pradesh,2020,Urban,15-24,Female,76.88,11.51,71.14,3958.27,37.8
Andhra Pradesh,2020,Rural,15-24,Female,65.53,17.87,40.18,4830.35,25.49
Andhra Pradesh,2020,Urban,Above 24,Male,69.78,11.22,73.67,4094.45,26.23
Andhra Pradesh,2020,Rural,Above 24,Male,70.32,8.76,23.89,3925.24,28.29
Andhra Pradesh,2020,Urban,Above 24,Female,76.11,17.38,82.86,4372.05,29.85
Andhra Pradesh,2020,Rural,Above 24,Female,52.97,15.91,40.67,4758.17,23.38
Andhra Pradesh,2021,Urban,Below 15,Male,83.19,17.66,68.37,4821.37,35.52
Andhra Pradesh,2021,Rural,Below 15,Male,63.99,17.12,45.19,4578.14,23.82
Andhra Pradesh,2021,Urban,Below 15,Female,73.25,12.49,91.77,5267.42,47.23
Andhra Pradesh,2021,Rural,Below 15,Female,55.33,20.36,47.75,6251.84,23.53
Andhra Pradesh,2021,Urban,15-24,Male,73.6,13.0,38.14,4079.4,23.93
Andhra Pradesh,2021,Rural,15-24,Male,73.5,23.71,73.14,5260.34,25.38
Andhra Pradesh,2021,Urban,15-24,Female,68.02,18.46,50.2,5965.17,39.44
Andhra Pradesh,2021,Rural,15-24,Female,62.31,13.43,65.31,4408.37,39.9
Andhra Pradesh,2021,Urban,Above 24,Male,62.06,7.0,70.08,4537.58,26.4
Andhra Pradesh,2021,Rural,Above 24,Male,74.23,10.66,42.86,4596.24,34.12
Andhra Pradesh,2021,Urban,Above 24,Female,80.12,4.38,46.99,5522.14,32.66
Andhra Pradesh,2021,Rural,Above 24,Female,55.52,23.76,46.74,5443.44,30.54
Andhra Pradesh,2022,Urban,Below 15,Male,98.61,18.78,66.27,5277.26,35.16
Andhra Pradesh,2022,Rural,Below 15,Male,81.69,11.18,55.29,5346.74,15.93
Andhra Pradesh,2022,Urban,Below 15,Female,61.17,1.0,65.96,5074.03,42.02
Andhra Pradesh,2022,Rural,Below 15,Female,63.74,24.14,24.3,3137.29,29.56
Andhra Pradesh,2022,Urban,15-24,Male,85.84,15.84,38.99,4428.7,19.56
Andhra Pradesh,2022,Rural,15-24,Male,78.7,23.83,30.9,4088.91,21.53
Andhra Pradesh,2022,Urban,15-24,Female,76.37,20.78,55.21,4903.24,25.76
Andhra Pradesh,2022,Rural,15-24,Female,59.07,21.46,29.47,4057.08,20.42
Andhra Pradesh,2022,Urban,Above 24,Male,97.65,10.18,59.5,4671.18,29.1
Andhra Pradesh,2022,Rural,Above 24,Male,65.79,19.07,56.36,4075.6,25.39
Andhra Pradesh,2022,Urban,Above 24,Female,70.25,1.0,47.27,5593.5,43.16
Andhra Pradesh,2022,Rural,Above 24,Female,60.51,18.88,49.67,6963.1,38.96
Andhra Pradesh,2023,Urban,Below 15,Male,76.72,5.22,45.9,4662.77,23.95
Andhra Pradesh,2023,Rural,Below 15,Male,53.78,12.77,28.78,5849.71,37.05
Andhra Pradesh,2023,Urban,Below 15,Female,72.92,17.4,71.16,3810.97,42.18
Andhra Pradesh,2023,Rural,Below 15,Female,68.39,10.81,42.14,3799.51,18.94
Andhra Pradesh,2023,Urban,15-24,Male,91.26,25.55,49.02,4950.38,24.79
Andhra Pradesh,2023,Rural,15-24,Male,67.13,19.04,32.04,4538.82,23.35
Andhra Pradesh,2023,Urban,15-24,Female,79.7,15.75,66.42,3773.95,25.39
Andhra Pradesh,2023,Rural,15-24,Female,74.55,24.5,30.34,4579.47,36.01
Andhra Pradesh,2023,Urban,Above 24,Male,61.31,12.72,60.06,4956.48,23.89
Andhra Pradesh,2023,Rural,Above 24,Male,49.95,7.86,45.72,4707.78,22.77
Andhra Pradesh,2023,Urban,Above 24,Female,79.39,1.69,69.01,3531.19,24.79
Andhra Pradesh,2023,Rural,Above 24,Female,63.47,11.7,39.23,5305.03,25.38
Telangana,2015,Urban,Below 15,Male,86.36,4.35,77.95,5653.25,15.0
Telangana,2015,Rural,Below 15,Male,60.03,18.89,41.95,4796.92,25.17
Telangana,2015,Urban,Below 15,Female,73.87,9.22,87.52,4703.54,32.7
Telangana,2015,Rural,Below 15,Female,58.88,13.56,38.51,4815.56,26.63
Telangana,2015,Urban,15-24,Male,84.9,26.38,83.07,4239.18,39.61
Telangana,2015,Rural,15-24,Male,67.92,11.81,29.88,3003.37,27.19
Telangana,2015,Urban,15-24,Female,77.18,24.38,74.9,4324.72,36.64
Telangana,2015,Rural,15-24,Female,44.89,23.18,56.56,3317.13,39.15
Telangana,2015,Urban,Above 24,Male,81.38,7.92,79.49,6316.55,31.45
Telangana,2015,Rural,Above 24,Male,70.48,13.7,32.25,5164.27,23.15
Telangana,2015,Urban,Above 24,Female,73.72,7.61,77.18,4766.93,38.3
Telangana,2015,Rural,Above 24,Female,57.9,14.65,30.32,4144.57,33.02
Telangana,2016,Urban,Below 15,Male,85.57,5.39,83.04,5584.51,33.31
Telangana,2016,Rural,Below 15,Male,86.77,12.13,26.33,3077.02,41.97
Telangana,2016,Urban,Below 15,Female,79.54,9.72,74.2,3599.61,49.57
Telangana,2016,Rural,Below 15,Female,64.29,16.55,55.89,4884.81,31.79
Telangana,2016,Urban,15-24,Male,74.1,18.36,95.0,5576.34,42.75
Telangana,2016,Rural,15-24,Male,66.89,17.05,43.11,4544.58,38.75
Telangana,2016,Urban,15-24,Female,60.08,23.65,67.63,4158.5,21.9
Telangana,2016,Rural,15-24,Female,50.45,26.12,46.1,3468.03,19.64
Telangana,2016,Urban,Above 24,Male,74.64,18.35,66.11,3297.49,28.03
Telangana,2016,Rural,Above 24,Male,65.27,2.52,44.19,4315.25,35.57
Telangana,2016,Urban,Above 24,Female,91.49,15.63,65.97,3614.78,50.59
Telangana,2016,Rural,Above 24,Female,63.59,16.07,44.64,4658.47,28.85
Telangana,2017,Urban,Below 15,Male,72.26,7.27,69.51,4065.26,24.3
Telangana,2017,Rural,Below 15,Male,69.06,14.73,67.56,2379.22,38.73
Telangana,2017,Urban,Below 15,Female,85.46,1.0,64.86,4202.85,18.74
Telangana,2017,Rural,Below 15,Female,55.22,10.45,71.28,5248.54,40.17
Telangana,2017,Urban,15-24,Male,89.22,10.35,62.13,4891.5,20.22
Telangana,2017,Rural,15-24,Male,79.13,20.8,39.38,5068.77,33.55
Telangana,2017,Urban,15-24,Female,73.39,21.8,53.78,4992.75,34.74
Telangana,2017,Rural,15-24,Female,63.9,23.63,26.23,5239.22,28.52
Telangana,2017,Urban,Above 24,Male,72.77,15.25,59.43,3373.23,17.55
Telangana,2017,Rural,Above 24,Male,74.06,9.6,71.32,2834.46,43.57
Telangana,2017,Urban,Above 24,Female,75.11,9.52,61.83,4819.31,29.7
Telangana,2017,Rural,Above 24,Female,74.03,16.57,47.25,4209.11,29.54
Telangana,2018,Urban,Below 15,Male,81.08,1.45,49.78,5094.61,31.37
Telangana,2018,Rural,Below 15,Male,66.16,16.09,50.21,4068.19,23.77
Telangana,2018,Urban,Below 15,Female,74.96,5.11,76.12,3137.93,38.23
Telangana,2018,Rural,Below 15,Female,67.73,17.28,59.74,5832.38,38.11
Telangana,2018,Urban,15-24,Male,63.59,9.6,60.63,4520.87,34.14
Telangana,2018,Rural,15-24,Male,64.74,22.93,33.67,4010.79,18.75
Telangana,2018,Urban,15-24,Female,67.77,9.24,55.36,5342.91,22.4
Telangana,2018,Rural,15-24,Female,93.32,24.47,47.77,3813.31,35.6
Telangana,2018,Urban,Above 24,Male,72.24,10.61,95.0,4423.15,39.19
Telangana,2018,Rural,Above 24,Male,60.97,15.83,71.56,3998.43,44.5
Telangana,2018,Urban,Above 24,Female,80.08,7.19,79.49,5278.04,34.97
Telangana,2018,Rural,Above 24,Female,47.3,12.36,41.29,4440.45,34.97
Telangana,2019,Urban,Below 15,Male,79.78,3.32,75.7,4988.47,34.48
Telangana,2019,Rural,Below 15,Male,78.81,20.17,51.89,4443.87,16.71
Telangana,2019,Urban,Below 15,Female,77.3,11.04,74.07,3478.6,21.35
Telangana,2019,Rural,Below 15,Female,73.53,15.8,55.22,4522.65,30.24
Telangana,2019,Urban,15-24,Male,91.38,13.42,71.44,4130.18,26.52
Telangana,2019,Rural,15-24,Male,68.91,23.11,37.82,5504.6,22.84
Telangana,2019,Urban,15-24,Female,75.13,13.8,91.7,4657.24,38.25
Telangana,2019,Rural,15-24,Female,52.14,23.34,58.34,4565.83,38.52
Telangana,2019,Urban,Above 24,Male,72.83,17.05,95.0,4209.73,26.44
Telangana,2019,Rural,Above 24,Male,82.53,23.9,37.16,4163.85,27.75
Telangana,2019,Urban,Above 24,Female,59.56,5.41,54.94,3885.76,29.72
Telangana,2019,Rural,Above 24,Female,65.34,23.75,30.02,5287.46,28.29
Telangana,2020,Urban,Below 15,Male,77.51,13.37,53.16,4805.93,31.33
Telangana,2020,Rural,Below 15,Male,72.92,17.45,81.83,3989.81,25.75
Telangana,2020,Urban,Below 15,Female,66.77,7.22,60.44,5451.21,41.36
Telangana,2020,Rural,Below 15,Female,57.29,11.84,52.07,4058.22,35.06
Telangana,2020,Urban,15-24,Male,84.03,8.42,93.21,5936.7,25.1
Telangana,2020,Rural,15-24,Male,68.12,23.43,50.02,5026.84,46.08
Telangana,2020,Urban,15-24,Female,75.23,12.01,49.31,3915.26,29.73
Telangana,2020,Rural,15-24,Female,84.95,19.41,48.36,4486.86,39.51
Telangana,2020,Urban,Above 24,Male,99.0,7.35,62.66,5335.33,35.46
Telangana,2020,Rural,Above 24,Male,86.47,18.92,39.61,4972.52,38.87
Telangana,2020,Urban,Above 24,Female,81.2,12.54,86.0,5435.44,41.06
Telangana,2020,Rural,Above 24,Female,69.49,15.16,47.2,5465.21,23.46
Telangana,2021,Urban,Below 15,Male,81.69,8.03,70.43,5522.76,31.53
Telangana,2021,Rural,Below 15,Male,68.46,9.2,56.19,5016.39,47.31
Telangana,2021,Urban,Below 15,Female,69.92,11.1,73.74,5761.96,29.24
Telangana,2021,Rural,Below 15,Female,65.79,19.04,47.8,4142.85,31.55
Telangana,2021,Urban,15-24,Male,92.74,10.87,71.99,3939.9,39.56
Telangana,2021,Rural,15-24,Male,56.77,19.21,50.66,5752.42,29.47
Telangana,2021,Urban,15-24,Female,71.45,25.41,48.28,2740.96,33.52
Telangana,2021,Rural,15-24,Female,61.98,16.89,55.63,4695.04,25.49
Telangana,2021,Urban,Above 24,Male,65.2,14.36,79.75,4420.66,44.77
Telangana,2021,Rural,Above 24,Male,57.3,8.37,34.62,4463.53,31.95
Telangana,2021,Urban,Above 24,Female,70.59,11.76,51.23,5655.01,29.34
Telangana,2021,Rural,Above 24,Female,74.17,17.71,51.85,4955.81,33.58
Telangana,2022,Urban,Below 15,Male,84.43,16.65,72.95,5067.2,29.28
Telangana,2022,Rural,Below 15,Male,82.4,12.62,72.01,4467.87,18.55
Telangana,2022,Urban,Below 15,Female,74.28,6.59,82.61,3977.9,26.43
Telangana,2022,Rural,Below 15,Female,44.1,13.74,10.0,3232.88,36.08
Telangana,2022,Urban,15-24,Male,89.86,18.13,55.5,4461.83,29.97
Telangana,2022,Rural,15-24,Male,60.42,29.52,58.16,4323.23,30.22
Telangana,2022,Urban,15-24,Female,79.08,5.79,66.29,3954.41,21.99
Telangana,2022,Rural,15-24,Female,64.19,30.99,54.61,4043.06,34.58
Telangana,2022,Urban,Above 24,Male,91.99,14.62,70.89,3982.45,35.59
Telangana,2022,Rural,Above 24,Male,71.93,20.48,54.53,5339.64,25.72
Telangana,2022,Urban,Above 24,Female,86.17,10.99,95.0,3948.65,43.89
Telangana,2022,Rural,Above 24,Female,64.98,12.74,37.74,4243.72,33.39
Telangana,2023,Urban,Below 15,Male,83.23,7.13,69.63,6213.82,43.82
Telangana,2023,Rural,Below 15,Male,72.36,16.19,46.8,4990.81,21.82
Telangana,2023,Urban,Below 15,Female,70.43,1.66,75.99,5017.76,26.13
Telangana,2023,Rural,Below 15,Female,78.74,9.87,23.03,4679.56,38.38
Telangana,2023,Urban,15-24,Male,98.84,13.71,86.18,4469.19,28.62
Telangana,2023,Rural,15-24,Male,80.84,25.26,21.35,5681.23,41.04
Telangana,2023,Urban,15-24,Female,70.74,17.98,77.41,4708.54,25.6
Telangana,2023,Rural,15-24,Female,60.28,21.87,62.59,4934.88,27.04
Telangana,2023,Urban,Above 24,Male,85.72,1.0,87.23,3108.23,27.1
Telangana,2023,Rural,Above 24,Male,56.8,9.53,62.41,4125.84,32.77
Telangana,2023,Urban,Above 24,Female,72.53,12.39,71.15,3473.61,37.97
Telangana,2023,Rural,Above 24,Female,58.06,8.22,38.58,5700.61,36.8
Tamil Nadu,2015,Urban,Below 15,Male,74.51,8.25,65.18,6161.4,33.06
Tamil Nadu,2015,Rural,Below 15,Male,72.3,21.15,48.58,4292.77,28.43
Tamil Nadu,2015,Urban,Below 15,Female,72.28,9.81,80.91,4541.56,35.86
Tamil Nadu,2015,Rural,Below 15,Female,62.19,16.39,15.03,5233.06,32.77
Tamil Nadu,2015,Urban,15-24,Male,91.98,1.52,95.0,4388.33,38.87
Tamil Nadu,2015,Rural,15-24,Male,61.6,25.06,29.2,4000.98,45.31
Tamil Nadu,2015,Urban,15-24,Female,75.09,17.09,83.05,4896.55,31.2
Tamil Nadu,2015,Rural,15-24,Female,70.65,34.02,44.14,4660.88,38.41
Tamil Nadu,2015,Urban,Above 24,Male,89.06,15.94,79.58,3585.6,43.07
Tamil Nadu,2015,Rural,Above 24,Male,56.54,17.51,33.69,4448.69,32.63
Tamil Nadu,2015,Urban,Above 24,Female,76.21,12.11,94.21,4862.83,28.05
Tamil Nadu,2015,Rural,Above 24,Female,72.64,21.95,26.59,4977.92,35.61
Tamil Nadu,2016,Urban,Below 15,Male,75.02,16.88,67.75,4600.46,28.62
Tamil Nadu,2016,Rural,Below 15,Male,68.16,10.52,23.4,5775.6,23.22
Tamil Nadu,2016,Urban,Below 15,Female,63.09,1.0,60.42,3441.53,43.14
Tamil Nadu,2016,Rural,Below 15,Female,73.1,12.56,78.79,5285.41,27.4
Tamil Nadu,2016,Urban,15-24,Male,57.01,27.45,49.16,3183.68,38.18
Tamil Nadu,2016,Rural,15-24,Male,96.4,28.92,53.46,4975.8,36.83
Tamil Nadu,2016,Urban,15-24,Female,84.59,17.41,71.56,4449.93,23.97
Tamil Nadu,2016,Rural,15-24,Female,64.19,13.54,43.52,3709.13,21.17
Tamil Nadu,2016,Urban,Above 24,Male,79.8,16.96,83.77,3243.6,22.08
Tamil Nadu,2016,Rural,Above 24,Male,77.41,11.09,41.63,4940.04,22.25
Tamil Nadu,2016,Urban,Above 24,Female,74.05,3.33,60.98,4755.83,17.26
Tamil Nadu,2016,Rural,Above 24,Female,67.4,15.9,53.29,4679.13,40.91
Tamil Nadu,2017,Urban,Below 15,Male,79.25,7.85,71.83,4934.64,30.39
Tamil Nadu,2017,Rural,Below 15,Male,68.41,12.49,35.06,3377.92,44.0
Tamil Nadu,2017,Urban,Below 15,Female,60.56,6.54,59.22,5215.94,27.64
Tamil Nadu,2017,Rural,Below 15,Female,75.48,12.63,49.18,3831.72,47.16
Tamil Nadu,2017,Urban,15-24,Male,70.12,17.55,79.51,4831.04,28.52
Tamil Nadu,2017,Rural,15-24,Male,70.7,22.22,42.79,5271.1,47.68
Tamil Nadu,2017,Urban,15-24,Female,71.43,9.15,68.68,6563.77,23.57
Tamil Nadu,2017,Rural,15-24,Female,83.39,30.39,36.7,4955.19,43.03
Tamil Nadu,2017,Urban,Above 24,Male,74.21,8.98,61.27,3688.19,24.81
Tamil Nadu,2017,Rural,Above 24,Male,55.76,16.17,33.45,4687.03,17.55
Tamil Nadu,2017,Urban,Above 24,Female,76.31,14.17,40.09,4799.25,39.82
Tamil Nadu,2017,Rural,Above 24,Female,50.9,24.36,51.29,3935.99,29.55
Tamil Nadu,2018,Urban,Below 15,Male,83.58,10.38,78.08,3763.46,31.35
Tamil Nadu,2018,Rural,Below 15,Male,53.86,15.44,31.44,3911.58,39.89
Tamil Nadu,2018,Urban,Below 15,Female,83.91,13.05,53.62,4246.87,39.7
Tamil Nadu,2018,Rural,Below 15,Female,64.42,27.6,50.9,4653.64,27.53
Tamil Nadu,2018,Urban,15-24,Male,83.34,15.24,80.62,5265.36,23.71
Tamil Nadu,2018,Rural,15-24,Male,58.69,12.82,52.62,3617.31,15.0
Tamil Nadu,2018,Urban,15-24,Female,80.89,28.46,69.91,5170.79,30.65
Tamil Nadu,2018,Rural,15-24,Female,66.01,26.6,40.65,4713.91,32.57
Tamil Nadu,2018,Urban,Above 24,Male,71.32,14.96,67.38,3895.4,34.29
Tamil Nadu,2018,Rural,Above 24,Male,59.02,16.14,44.86,5368.72,33.8
Tamil Nadu,2018,Urban,Above 24,Female,72.75,14.09,90.85,4946.25,30.08
Tamil Nadu,2018,Rural,Above 24,Female,49.88,10.67,40.42,4012.39,28.5
Tamil Nadu,2019,Urban,Below 15,Male,78.57,12.65,68.94,4889.2,30.52
Tamil Nadu,2019,Rural,Below 15,Male,48.25,11.3,42.84,3532.24,34.8
Tamil Nadu,2019,Urban,Below 15,Female,88.31,16.09,66.8,5692.58,31.19
Tamil Nadu,2019,Rural,Below 15,Female,59.63,12.93,40.46,4189.46,31.36
Tamil Nadu,2019,Urban,15-24,Male,83.61,16.02,76.55,5452.52,37.6
Tamil Nadu,2019,Rural,15-24,Male,57.15,9.23,59.01,3406.5,28.2
Tamil Nadu,2019,Urban,15-24,Female,65.3,6.99,78.12,5107.32,25.39
Tamil Nadu,2019,Rural,15-24,Female,41.09,19.27,50.88,3316.87,31.47
Tamil Nadu,2019,Urban,Above 24,Male,77.85,12.9,71.79,3721.54,39.57
Tamil Nadu,2019,Rural,Above 24,Male,66.41,15.86,31.0,4145.37,22.92
Tamil Nadu,2019,Urban,Above 24,Female,71.27,18.56,49.42,3209.15,41.77
Tamil Nadu,2019,Rural,Above 24,Female,60.91,12.65,60.6,4015.51,44.61
Tamil Nadu,2020,Urban,Below 15,Male,84.78,7.56,95.0,4015.43,35.94
Tamil Nadu,2020,Rural,Below 15,Male,70.99,22.51,68.42,4525.6,23.97
Tamil Nadu,2020,Urban,Below 15,Female,77.6,6.61,95.0,4609.23,27.08
Tamil Nadu,2020,Rural,Below 15,Female,64.85,9.26,30.43,5460.33,24.74
Tamil Nadu,2020,Urban,15-24,Male,71.53,18.68,87.79,5075.16,37.97
Tamil Nadu,2020,Rural,15-24,Male,64.43,14.89,67.52,4241.86,27.99
Tamil Nadu,2020,Urban,15-24,Female,90.28,18.78,76.84,6232.0,24.85
Tamil Nadu,2020,Rural,15-24,Female,76.28,22.29,49.03,5722.77,34.06
Tamil Nadu,2020,Urban,Above 24,Male,83.38,15.36,64.53,3828.63,21.64
Tamil Nadu,2020,Rural,Above 24,Male,48.34,26.28,28.45,4323.0,27.79
Tamil Nadu,2020,Urban,Above 24,Female,76.07,14.08,82.91,4033.54,28.66
Tamil Nadu,2020,Rural,Above 24,Female,65.83,14.76,69.11,4892.78,35.88
Tamil Nadu,2021,Urban,Below 15,Male,84.63,15.87,72.72,3462.53,33.2
Tamil Nadu,2021,Rural,Below 15,Male,61.49,13.36,53.8,5490.63,30.17
Tamil Nadu,2021,Urban,Below 15,Female,76.09,18.51,73.61,6581.35,34.52
Tamil Nadu,2021,Rural,Below 15,Female,45.39,19.77,50.72,5531.8,35.39
Tamil Nadu,2021,Urban,15-24,Male,80.62,9.88,66.86,3819.58,25.36
Tamil Nadu,2021,Rural,15-24,Male,77.89,30.35,50.92,3543.29,33.56
Tamil Nadu,2021,Urban,15-24,Female,88.97,12.95,67.99,4511.75,23.72
Tamil Nadu,2021,Rural,15-24,Female,73.48,21.4,51.29,3790.01,26.5
Tamil Nadu,2021,Urban,Above 24,Male,85.22,8.14,95.0,4180.29,31.8
Tamil Nadu,2021,Rural,Above 24,Male,77.33,8.91,18.59,3279.47,40.1
Tamil Nadu,2021,Urban,Above 24,Female,67.48,22.79,61.54,4647.64,42.34
Tamil Nadu,2021,Rural,Above 24,Female,83.06,26.31,63.13,5319.25,34.74
Tamil Nadu,2022,Urban,Below 15,Male,85.78,7.24,57.73,4497.3,28.64
Tamil Nadu,2022,Rural,Below 15,Male,63.47,19.48,59.33,4570.73,41.82
Tamil Nadu,2022,Urban,Below 15,Female,61.58,9.03,59.25,3006.77,29.34
Tamil Nadu,2022,Rural,Below 15,Female,61.78,23.57,54.46,3680.65,44.83
Tamil Nadu,2022,Urban,15-24,Male,94.21,18.91,66.6,3732.45,27.02
Tamil Nadu,2022,Rural,15-24,Male,82.89,31.42,68.15,4108.92,21.04
Tamil Nadu,2022,Urban,15-24,Female,78.41,7.16,74.85,4381.92,26.27
Tamil Nadu,2022,Rural,15-24,Female,51.05,24.57,37.01,3564.07,15.0
Tamil Nadu,2022,Urban,Above 24,Male,77.72,18.86,94.92,4134.32,25.18
Tamil Nadu,2022,Rural,Above 24,Male,72.69,11.01,49.53,5112.86,39.82
Tamil Nadu,2022,Urban,Above 24,Female,72.0,8.98,56.83,3838.5,28.19
Tamil Nadu,2022,Rural,Above 24,Female,66.67,20.57,32.95,5694.15,27.83
Tamil Nadu,2023,Urban,Below 15,Male,77.79,6.26,33.64,5207.24,35.89
Tamil Nadu,2023,Rural,Below 15,Male,65.19,16.33,52.74,3249.96,25.77
Tamil Nadu,2023,Urban,Below 15,Female,80.94,3.73,74.4,3414.73,33.73
Tamil Nadu,2023,Rural,Below 15,Female,62.64,7.92,62.47,3912.33,23.52
Tamil Nadu,2023,Urban,15-24,Male,84.01,21.74,54.76,4549.34,33.43
